size,hour
45,202504291721
44,202504291821
43,202504291921
42,202504292021
40,202504292121
38,202504292221
35,202504292321
46,202505011418
41,202505011518
45,202505011618
24,202505011718
44,202505011818
40,202505011918
39,202505012018
37,202505012118
34,202505012218
34,202505012318
35,202505020018
31,202505020118
29,202505020218
27,202505020318
16,202505020418
19,202505020518
25,202505020618
25,202505020718
25,202505020818
27,202505020918
30,202505021018
36,202505021118
41,202505021218
47,202505021318
52,202505021418
47,202505021518
45,202505021618
44,202505021718
41,202505021818
39,202505021918
41,202505022018
37,202505022118
34,202505022218
32,202505022318
31,202505030018
32,202505030118
28,202505030218
26,202505030318
22,202505030418
21,202505030518
24,202505030618
23,202505030718
23,202505030818
24,202505030918
28,202505031018
32,202505031118
42,202505031218
39,202505031318
41,202505031418
40,202505031518
41,202505031618
37,202505031718
36,202505031818
37,202505031918
34,202505032018
33,202505032118
32,202505032218
30,202505032318
29,202505040018
31,202505040118
27,202505040218
25,202505040318
21,202505040418
20,202505040518
20,202505040618
22,202505040718
22,202505040818
23,202505040918
25,202505041018
28,202505041118
32,202505041218
45,202505041318
40,202505041418
41,202505041518
40,202505041618
38,202505041718
37,202505041818
37,202505041918
34,202505042018
34,202505042118
31,202505042218
31,202505042318
31,202505050018
30,202505050118
28,202505050218
24,202505050318
23,202505050418
22,202505050518
23,202505050618
24,202505050718
24,202505050818
25,202505050918
31,202505051018
34,202505051118
39,202505051218
42,202505051318
45,202505051418
45,202505051518
44,202505051618
44,202505051718
42,202505051818
40,202505051918
40,202505052018
37,202505052118
34,202505052218
33,202505052318
35,202505060018
32,202505060118
28,202505060218
24,202505060318
23,202505060418
27,202505060518
23,202505060618
23,202505060718
24,202505060818
30,202505060918
31,202505061018
35,202505061118
41,202505061218
44,202505061318
46,202505061418
46,202505061518
45,202505061618
42,202505061718
43,202505061818
40,202505061918
42,202505062018
38,202505062118
36,202505062218
33,202505062318
32,202505070018
32,202505070118
28,202505070218
24,202505070318
21,202505070418
24,202505070618
24,202505070718
25,202505070818
26,202505070918
30,202505071018
35,202505071118
44,202505071218
44,202505071318
46,202505071418
37,202505071518
34,202505071618
43,202505071718
44,202505071818
41,202505071918
6.8,202505072018
37,202505072118
35,202505072218
34,202505072318
33,202505080018
32,202505080118
28,202505080218
26,202505080318
23,202505080418
24,202505080518
24,202505080618
23,202505080718
26,202505080818
27,202505080918
30,202505081018
38,202505081118
41,202505081218
44,202505081318
46,202505081418
48,202505081518
51,202505081618
53,202505081718
44,202505081818
45,202505081918
40,202505082018
38,202505082118
36,202505082218
33,202505082318
32,202505090018
31,202505090118
28,202505090218
25,202505090318
22,202505090418
23,202505090518
27,202505090618
23,202505090718
25,202505090818
30,202505090918
32,202505091018
36,202505091118
40,202505091218
43,202505091318
47,202505091418
45,202505091518
43,202505091618
43,202505091718
41,202505091818
40,202505091918
38,202505092018
38,202505092118
34,202505092218
32,202505092318
31,202505100018
